,windcode,Final Profit Rate
0,801950.SWI,0.6309746677269086
1,801160.SWI,0.4292617249231572
2,801720.SWI,0.13748585266390867
3,801730.SWI,0.30835326044448674
4,801880.SWI,0.12679645879744528
5,801010,-0.12751485884456315
6,801740,-0.14069294706334812
7,801050,0.2635760681194641
8,801970.SWI,0.04940971601132227
9,801170,-0.029106677986574625
10,801770,-0.061675791556266235
11,801030,0.23623768396346345
12,801890,-0.01079419332663134
13,801960,0.09578229274803474
14,801230,0.11166866411649812
15,801040,0.15728721360822417
16,801200,-0.14091054562037952
17,801120,-0.18302111613773964
18,801180,-0.194454266516094
19,801710,-0.1363836498805514
20,801140,-0.11966426867574587
21,801130,-0.08475680969440436
22,801760,-0.24737659372438636
23,801780,-0.13880704892057505
24,801110,-0.321992049901326
25,801790,-0.34205371878744284
26,801210,-0.225033957117579
27,801150,-0.21165921660857423
28,801980,-0.07576938255210086
29,801750,-0.25159472492943946
30,801080,-0.1625641931559353
